,18Dec2020,10May2021,distance_px
0,489991c7-307a-4b79-b11d-9dd5149dadf9,b9a1750d-568f-4ca0-aa91-ef3426137581,794.444774669706
1,6655e44b-395a-4e43-bacf-f10d8750d2af,b9a1750d-568f-4ca0-aa91-ef3426137581,567.9887762975603
2,2a526098-602e-474b-889c-4014aaa18290,97bd3bea-ffd1-4f00-bb98-2e3818ade3ba,512.937618039465
3,f6c06408-c7f1-457e-a183-391994fa8d11,b9a1750d-568f-4ca0-aa91-ef3426137581,112.98340586121486
4,56fd6503-a6ee-44c6-9085-f9ad7015848b,ed2bd522-19ba-4989-a546-4e33aa2b1b2c,418.7415670792667
5,ef247d5c-14c9-4920-b38d-b67ccb024587,0e4268af-4355-4988-b684-af0ff92a8d6e,375.63413050467074
6,38fe8e80-8797-49ca-99fa-f678062dbe82,ed2bd522-19ba-4989-a546-4e33aa2b1b2c,284.65285875957755
7,5a3f1778-edd2-4e6d-9aa2-c14648e0f1f3,0e4268af-4355-4988-b684-af0ff92a8d6e,546.7471993526807
8,60918dc7-21b7-4c89-8c14-97a3d9203be0,b73ebc8f-ce54-425b-9181-4048fa6bbe65,266.6631770605008
9,9910302c-85ac-48f8-b4f7-f259b39f4060,97bd3bea-ffd1-4f00-bb98-2e3818ade3ba,167.13018877509833
10,eb53b671-4822-46cf-96b8-79ec60a6c213,8303edce-b353-4657-a236-2c8dc4f1b2ec,107.11675872616759
11,780d4e2d-f889-42b2-bdfb-302afab4d9cb,0e4268af-4355-4988-b684-af0ff92a8d6e,148.5976110171358
12,9d9b7922-bd61-46a4-b0a2-c548f8f8ccb1,e81f20b7-0d6c-4290-96a5-00e3527fb69b,81.70679286326198
13,3d3fbcb3-39f9-47fe-9d5b-2d9a2eac86f1,a7c3ff53-8003-4d2e-8e5e-4e7445ba56a9,168.68980407837338
14,da982fe0-b01e-4b57-886c-2d7f2fcf2fb6,9f26b3c7-b055-412f-a02e-67705bc62fdd,223.5363505114996
15,f2cbae50-ce35-420a-b76d-b2edc1a55fec,19c4e6f8-4164-4634-98b3-e5893d42d9b1,257.0992026436488
16,d111ca10-fa45-4808-a27c-faf4374111c4,a7c3ff53-8003-4d2e-8e5e-4e7445ba56a9,259.47880452938733
17,ba638c88-52c0-445b-a472-2c0394d44705,e1427c35-f997-409c-97be-04a1ecc68a5a,151.96134376873613
18,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,53df3dcd-e2e5-4187-bb2d-86a5f227bc0d,149.65042599337966
19,e7024599-a82a-456a-a81a-265184e0205f,a2c3f29c-6e6a-4fc9-893d-beac485be8e6,164.19272212860105
20,7d1acab6-ecc3-42e1-9e09-d10bf7908acc,cce96863-3ee1-4334-846e-09dcc8335010,197.0406049523803
21,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,a2c3f29c-6e6a-4fc9-893d-beac485be8e6,136.20297353582262
22,ae6866d4-3a66-4a5c-955a-0aefce7d0a28,0551cfa7-fe10-46c6-a915-4dc2aed6f383,273.9069184960467
23,12741f9a-3447-473a-9ad3-e9800db53234,cce96863-3ee1-4334-846e-09dcc8335010,184.84655798797013
24,14d6b7ba-4e0b-4790-ae9b-bd029d904fbc,2b9572d3-1128-42fc-9928-e9bcd7631b5c,81.21576201698781
25,6c4aaafb-b30a-418f-aeea-5a2bdb67d2ff,0551cfa7-fe10-46c6-a915-4dc2aed6f383,202.41356179861071
26,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,2bfe22bb-00bd-48b0-ae8f-56c08ba1684a,69.11765331664553
27,4a802da7-80c0-47b5-8abc-841bd77547be,fc78f31d-ab88-47c4-97e6-6e977c8e8f33,261.9055173149279
28,c15b704a-ed08-4a48-914c-94d4588ce3ad,0551cfa7-fe10-46c6-a915-4dc2aed6f383,157.6586502542756
29,b42c43c2-a2dc-4c1f-88ab-1dd2f9c67d13,04906f78-6dec-4b10-bfaf-cbe93d3d4dcf,164.47796204963143
30,a32288d7-ef50-4eb9-9c4a-36714d93317d,1362ef4d-b89f-4a63-a62f-bc205775ea42,89.19921524318474
31,05566bdc-1dbc-4884-acd1-b5135f024e3c,791f57b2-b7df-49be-86a0-3cb93602f186,186.37931752208988
32,5f172a40-e11c-49ac-bfab-503d4c3dfd60,24032ad7-727c-4e0b-b31a-3ef217d6ff06,123.43419299367578
33,e0aa58ac-4521-4dee-bd73-e417bd1ee879,473bc300-7505-48ef-a36f-4bcbeaa8dee3,168.71573726241425
34,ac4f5993-606e-4af0-87f3-01d8e5a589ce,a9e6cea7-abff-4149-8e15-69080b0bf721,120.79010721081424
35,9d725944-0f26-43ff-b307-3d7a783b674b,3d652032-a425-4e5b-87fa-276010853b82,289.4291795932124
36,429927a3-eb2b-4d15-a78a-4b1e228d6a76,3d652032-a425-4e5b-87fa-276010853b82,242.86004199950224
37,f9af6706-c53d-46b5-93b5-b18a11189920,473bc300-7505-48ef-a36f-4bcbeaa8dee3,73.27004845091888
38,cfe9606a-c751-486e-a80a-0216d21c7497,66c32b08-9410-4e63-8c57-41f9567bfe9d,148.32481248934718
39,d92fc2ff-49df-4b2f-9222-6f5af21a1694,3d652032-a425-4e5b-87fa-276010853b82,284.14300976796875
40,5acb0111-d543-4842-9699-692f0f0e8020,01cc637a-40cd-42dd-af5d-f3109100c25b,98.8243391073272
41,a85e466a-f51d-40d3-8cbc-d0b8ea0d01ed,dfff09c0-4d8a-48a5-8a24-8309aa56c014,357.1141274158725
42,89cb0dc2-6ced-43c2-858b-eb83427a9cbd,84292094-66e8-4e0a-af05-6cee67270ad4,134.52880732393342
43,683ec2ef-945f-4fca-a346-1e64556e616e,ab98d590-1677-42e8-a8af-782682a0ab4c,126.82369652395407
44,574b3b3b-46f7-4c64-bcc5-f91bdb4adef7,84292094-66e8-4e0a-af05-6cee67270ad4,194.40807596393725
45,65cfcdc3-dfdb-4917-9baa-0e056861cb2d,f7d4537f-137b-4946-bee8-40c8ba32d120,243.0740627874558
46,fb4f9711-858a-4624-bffd-a165db7d7319,ab98d590-1677-42e8-a8af-782682a0ab4c,195.78176626029298
47,05fd5d73-88fc-4407-8fe7-c24b47e1bd4f,8f4a44f0-f8d5-4352-b060-d3b051e69e39,92.58104557629494
48,1ba5e1c8-88eb-43cd-aaab-246429accdf9,39a65a91-b88e-4cca-87a6-2a396a115826,276.79821169942556
49,83f09403-b506-4b7b-b84d-2ab45ab18218,c7ba7bee-8923-4a15-8df3-07479173964d,246.45942870987915
50,db4aefc3-8cb6-4d80-9480-8261cc3717fe,f7d4537f-137b-4946-bee8-40c8ba32d120,138.97661673821247
51,30a62970-a405-482f-a077-de37057f9e5d,c3c57bf4-fda0-4123-b8d1-8efe483573b7,107.29864864013899
52,9a57d87c-27b1-4c96-b5c4-3f73e2b6c398,62d62a83-5794-42ea-888e-5ea34b2007ea,72.80968342191855
53,110a6568-b747-4e0c-9b01-66597a7073c3,49a6674e-03ed-4db8-b06f-29896203f45f,112.32208153341888
54,4ddad6c6-8aa2-4c88-9e9c-b6235ddc8597,78e4948c-146d-49cb-9781-12d4e218ff6b,23.769728648009426
55,a594622e-7b24-4575-b3ab-75401af45177,497e3d61-564a-4363-8ed0-34eba533423c,87.20808448762075
56,beda66f5-415e-4176-af0d-195fa545c565,c3c57bf4-fda0-4123-b8d1-8efe483573b7,140.02321236137956
57,dc013877-df8e-4fd0-89c3-d011530d75be,71788577-73b7-4298-9f39-e3a77abdfd17,132.90692231783865
58,6c615df1-b8c1-46ab-858d-0ce6c25ca22b,99ec620f-d0be-40cf-b0d3-e65ef1a43375,112.98340586121486
