,10May2021,18Dec2020,distance_px
0,b9a1750d-568f-4ca0-aa91-ef3426137581,f6c06408-c7f1-457e-a183-391994fa8d11,112.98340586121486
1,ed2bd522-19ba-4989-a546-4e33aa2b1b2c,eb53b671-4822-46cf-96b8-79ec60a6c213,166.96406799069075
2,8303edce-b353-4657-a236-2c8dc4f1b2ec,eb53b671-4822-46cf-96b8-79ec60a6c213,107.11675872616759
3,e81f20b7-0d6c-4290-96a5-00e3527fb69b,9d9b7922-bd61-46a4-b0a2-c548f8f8ccb1,81.70679286326198
4,b73ebc8f-ce54-425b-9181-4048fa6bbe65,60918dc7-21b7-4c89-8c14-97a3d9203be0,266.6631770605008
5,a2c3f29c-6e6a-4fc9-893d-beac485be8e6,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,136.20297353582262
6,53df3dcd-e2e5-4187-bb2d-86a5f227bc0d,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,149.65042599337966
7,2b9572d3-1128-42fc-9928-e9bcd7631b5c,14d6b7ba-4e0b-4790-ae9b-bd029d904fbc,81.21576201698781
8,24032ad7-727c-4e0b-b31a-3ef217d6ff06,5f172a40-e11c-49ac-bfab-503d4c3dfd60,123.43419299367578
9,1362ef4d-b89f-4a63-a62f-bc205775ea42,a32288d7-ef50-4eb9-9c4a-36714d93317d,89.19921524318474
10,2bfe22bb-00bd-48b0-ae8f-56c08ba1684a,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,69.11765331664553
11,032edda1-e82a-4d74-878f-a2e303cc82b6,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,431.7154734312867
12,a9e6cea7-abff-4149-8e15-69080b0bf721,ac4f5993-606e-4af0-87f3-01d8e5a589ce,120.79010721081424
13,473bc300-7505-48ef-a36f-4bcbeaa8dee3,f9af6706-c53d-46b5-93b5-b18a11189920,73.27004845091888
14,66c32b08-9410-4e63-8c57-41f9567bfe9d,cfe9606a-c751-486e-a80a-0216d21c7497,148.32481248934718
15,01cc637a-40cd-42dd-af5d-f3109100c25b,5acb0111-d543-4842-9699-692f0f0e8020,98.8243391073272
16,ab98d590-1677-42e8-a8af-782682a0ab4c,683ec2ef-945f-4fca-a346-1e64556e616e,126.82369652395407
17,f7d4537f-137b-4946-bee8-40c8ba32d120,db4aefc3-8cb6-4d80-9480-8261cc3717fe,138.97661673821247
18,8f4a44f0-f8d5-4352-b060-d3b051e69e39,05fd5d73-88fc-4407-8fe7-c24b47e1bd4f,92.58104557629494
19,62d62a83-5794-42ea-888e-5ea34b2007ea,9a57d87c-27b1-4c96-b5c4-3f73e2b6c398,72.80968342191855
20,c3c57bf4-fda0-4123-b8d1-8efe483573b7,30a62970-a405-482f-a077-de37057f9e5d,107.29864864013899
21,49a6674e-03ed-4db8-b06f-29896203f45f,110a6568-b747-4e0c-9b01-66597a7073c3,112.32208153341888
22,497e3d61-564a-4363-8ed0-34eba533423c,a594622e-7b24-4575-b3ab-75401af45177,87.20808448762075
23,99ec620f-d0be-40cf-b0d3-e65ef1a43375,6c615df1-b8c1-46ab-858d-0ce6c25ca22b,112.98340586121486
24,78e4948c-146d-49cb-9781-12d4e218ff6b,4ddad6c6-8aa2-4c88-9e9c-b6235ddc8597,23.769728648009426
25,c99ac74f-a39c-4e0e-ba93-325bd123b855,50f1d106-e14b-4800-8b0e-3f5f9c8b3426,322.9133010577297
26,a6118281-8a8a-4b06-b04b-340a94e427f4,56579600-1e7d-4ad4-a433-43b175c3f7d6,35.654592972014136
27,13907abb-29d6-4d83-bdf9-03063ec23d1b,ce6c4133-cb68-41b4-ae38-9e5c66582406,192.74400120366911
28,2be4fea8-0fe7-4d2b-9889-08e708b3b37e,ce6c4133-cb68-41b4-ae38-9e5c66582406,118.70657100598939
29,343eada3-6f83-4d0d-8ad0-819a7a259183,5b2ceb74-1b79-4907-b82f-0f603fee7c89,41.20982892466311
30,1ea6e690-2996-40f2-a754-703a7bb805fb,484472db-958c-4ce7-b705-a91fefcb6de5,112.65211937642363
31,2120d65a-8612-4567-b5ee-f6960619495c,8f3b5259-608c-4ed4-b69d-bb570b6fba3c,173.35296363200717
32,3dfb1904-33de-47d9-96a8-3b3c6867324b,f60dfcea-02a2-437c-9cf2-59d3f34d9abb,133.50093632630447
33,8e5ecfcc-757e-407c-9485-62fd5ee200c3,d741735d-5d58-45d8-89b4-1eb93832794e,46.013584950533904
34,e6704d7f-f404-463c-aa22-f9b75554a014,38643538-49a8-4f4a-879d-de52028c845c,183.0416619242734
