,93deg,183deg,distance_px
0,f612c249-9f9f-474c-9c21-31df38d30452,938ff7cf-0b90-4304-b60e-540aed35bc81,93.03897032964197
1,c734d4fd-8810-45ce-8a10-c236c0a891e1,787d7809-623d-45c8-a263-217163d39b4c,216.37756353189673
2,cf21a80f-1dd9-4e81-a01e-4a09e891a79a,52e76e2a-8ad5-46b8-b658-a7134dec7bab,25.104780421266383
3,6fbda893-1126-4e1a-afd2-adca7ce6a133,b72aef60-504e-4ee7-ae89-60aece7f28b6,166.6283289239858
4,0e63b6f3-37ec-4756-8275-4fc5fe79bb3d,b72aef60-504e-4ee7-ae89-60aece7f28b6,183.1399737905409
5,c80665d5-6863-4010-a4b4-cfb289cbcf95,553679c3-634a-4a7a-9284-ff0883f425da,166.22951001552042
6,ac9b8e0c-c750-4a14-9206-130ccf9519aa,0da4980b-b047-410e-9c1d-86538fb24511,83.0451684326066
7,8060538e-57ac-4bd2-899a-08822cfcbef3,c54f481c-4a12-44cb-a8b1-e64768821c6b,236.94355868012113
8,5226524c-36aa-4c77-9724-2dbf22171be2,662a8a71-bb1d-42ad-ae95-fe4c90b5d7f5,235.83309776195537
9,a2827b71-c570-422c-b246-d6ed6d25a279,797b9da6-199c-4601-919d-7a5f1c19389c,39.37321424522006
10,74f370d4-8a45-49ff-88fa-14eefcf52bb1,91df68e2-d435-4c4a-9d22-fb33ee0cd345,172.91688755005973
11,074b15af-cb54-4355-8e5e-590d60ba12a9,9aa7e590-108a-4e8e-af95-e95532594445,116.0010775812018
12,b431acd2-f393-42ba-85ce-097265d374ac,1bce98df-734f-4290-8d28-74f33e8d7b9b,130.2737502338825
13,b43f87e3-3dd2-481c-aa55-5ad4b8def08d,5ef071fb-0c25-4125-8837-a7a85926d453,74.15692819959575
14,c6fd2690-771f-4351-8f87-ee385b16b13b,723e4b60-5c0c-470f-822d-8425f06fcad3,130.33226768532802
15,8a1b59d7-1967-4158-a162-62033d552989,6d4f9011-8f94-4434-9097-6f200113f223,75.85842075867386
16,9104f625-8aef-4345-ba55-bfce7344c858,756ef011-08c9-4e39-a029-842052454e56,81.00617260431454
17,4c283e1c-4741-4cb1-b0f6-37754b9b6c5f,889afd46-511a-466c-b483-3c0829b1e90c,154.00811666921973
18,13c7fc41-5a48-40e6-87db-3289910870f9,ac84d30e-314e-478f-ba4e-ab368f804786,166.38885179001628
19,52c62cd6-58f8-48b5-83fd-d0d83e0326c6,f15ac26d-1c9e-468c-a135-5ffc05be306a,173.28084141069954
20,23edf482-02f2-44c9-9f8f-b558c81b5614,f4f24649-be04-4fd1-b3f0-5a1fe374ab49,225.75927444957827
21,79c85634-4d77-4cbe-8ad7-88084b61fa5a,d8f91849-ad8a-45a4-9626-b86b6a8f3f85,236.2255278330435
22,6a5edd53-0eb2-4a28-9420-333cb1229e69,3956ee41-808e-4b31-a97b-a99f7a419cd8,178.2133552795637
23,84d719b5-2edb-45e1-9212-762c3d05007c,a4f16137-3802-4bd5-b027-00fe3bc9cd5e,86.50144507463445
24,9ce55b08-16ec-4283-b95b-6cda8ac553df,9c92cdd9-642f-4bb2-84eb-bb6a363f77cf,130.38404810405297
25,32919afe-a722-4ae1-82a5-32a674f946e4,85441ab5-77fc-45e6-ac2b-d1e5a62b6567,26.196373794859472
