,minr,minc,maxr,maxc
236,3197,1343,3202,1349
237,3201,628,3285,679
238,3208,1347,3225,1353
239,3208,2693,3213,2699
240,3211,1384,3256,1409
241,3215,1422,3682,1803
242,3219,1252,3391,1360
243,3226,1450,3230,1455
244,3236,3616,3320,3791
245,3237,2997,3478,3240
246,3246,2504,3247,2505
247,3249,3834,3254,3836
248,3255,3831,3256,3833
249,3266,565,3278,582
250,3270,3497,3273,3500
251,3275,1531,3276,1532
252,3277,1423,3278,1424
253,3280,1536,3282,1540
254,3283,1431,3353,1474
255,3293,2459,3534,2671
256,3301,3782,3303,3783
257,3305,1539,3319,1563
258,3311,1760,3603,2044
259,3318,1009,3322,1030
260,3333,1079,3359,1107
261,3334,2019,3600,2291
262,3340,1034,3384,1048
263,3343,2937,3552,3102
264,3345,1432,3351,1436
265,3355,3474,3543,3738
266,3356,1190,3461,1307
267,3366,1381,3378,1398
268,3380,1408,3382,1416
269,3380,2743,3394,2760
270,3385,1049,3387,1060
271,3387,699,3761,905
272,3387,1339,3491,1447
273,3391,1071,3398,1087
274,3393,1325,3397,1331
275,3400,1112,3403,1117
276,3402,2427,3411,2432
277,3407,3380,3418,3392
278,3424,1165,3431,1168
279,3444,1325,3449,1336
280,3445,2909,3450,2913
281,3451,2006,3474,2020
282,3464,2272,3640,2421
283,3472,2922,3808,3285
284,3475,3533,3653,3772
285,3476,1274,3522,1314
286,3482,1315,3484,1317
287,3486,2338,3488,2341
288,3487,4368,3515,4406
289,3489,1928,3492,1933
290,3495,2309,3501,2313
291,3509,3280,3551,3409
292,3516,3593,3997,3971
293,3517,2533,3828,2747
294,3517,3997,3707,4193
295,3526,1978,3534,1980
296,3529,1380,3535,1392
297,3533,2717,3679,2894
298,3536,1328,3589,1373
299,3540,2431,3692,2556
300,3550,2255,3556,2263
301,3551,4199,3574,4211
302,3569,441,4210,936
303,3583,1883,3585,1885
304,3586,4215,3601,4218
305,3587,1874,3590,1880
306,3597,1491,3832,1832
307,3614,1258,3757,1398
308,3623,1013,3859,1212
309,3626,2065,4029,2420
310,3654,3311,3676,3326
311,3665,3339,3683,3358
312,3676,2798,3932,3020
313,3677,3885,4088,4170
314,3683,1833,3694,1840
315,3701,1111,3707,1112
316,3708,2742,3709,2745
317,3722,4188,3823,4266
318,3723,1488,3724,1489
319,3725,1471,3738,1488
320,3727,3217,4048,3507
321,3746,1509,3747,1511
322,3747,2308,4080,2584
323,3752,1847,3763,1852
324,3763,1937,3803,2010
325,3776,1243,3868,1394
326,3782,3124,3798,3141
327,3801,2551,4735,3117
328,3807,1014,3841,1036
329,3838,917,3847,924
330,3847,2872,4193,3228
331,3852,2086,3853,2087
332,3858,4208,3865,4209
333,3867,1084,4065,1298
334,3885,2134,3886,2135
335,3892,3566,3893,3567
336,3895,4205,3898,4209
337,3901,921,3904,927
338,3913,4131,4115,4435
339,3920,4360,3952,4484
340,3932,1756,4116,2049
341,3937,1313,4145,1592
342,3945,3589,3974,3612
343,3955,3819,4225,4057
344,3964,4484,3972,4485
345,3975,3684,3987,3697
346,4021,4462,4177,4498
347,4028,3277,4387,3629
348,4035,1295,4042,1297
349,4037,2140,4588,2555
350,4038,2928,4051,2949
351,4040,1086,4792,2186
352,4043,853,4350,1077
353,4056,1713,4071,1715
354,4062,3611,4607,4124
355,4100,2902,4102,2903
356,4101,4105,4360,4448
357,4113,1866,4114,1870
358,4140,828,4150,836
359,4167,3075,4285,3164
360,4188,3609,4190,3615
361,4189,2013,4380,2138
362,4189,4471,4235,4491
363,4198,611,4478,949
364,4202,3175,4228,3215
365,4231,3023,4252,3045
366,4236,4491,4239,4492
367,4252,1175,4253,1176
368,4272,2173,4275,2182
369,4273,3182,4736,3576
370,4309,3411,4310,3412
371,4310,3407,4312,3410
372,4318,1977,4324,1985
373,4362,3625,4364,3627
374,4364,3590,4366,3591
375,4369,4193,4673,4457
376,4379,4119,4381,4121
377,4388,3565,4395,3596
378,4393,4104,4395,4107
379,4398,3602,4400,3612
380,4402,2113,4405,2115
381,4413,946,5340,1842
382,4413,4135,4416,4136
383,4420,3935,4678,4187
384,4433,4189,4436,4192
385,4446,914,4456,923
386,4470,835,4476,845
387,4476,3616,4478,3619
388,4480,3605,4482,3612
389,4484,3597,4485,3598
390,4513,2776,4518,2781
391,4533,2929,4875,3127
392,4534,3565,4740,3796
393,4554,3142,4833,3317
394,4578,2734,4580,2735
395,4596,3942,5214,4405
396,4671,2597,4687,2611
397,4675,3553,5293,3972
398,4680,2817,4681,2818
399,4732,3324,4820,3378
400,4740,1473,6364,2542
401,4740,2745,4759,2758
402,4750,3443,4885,3568
403,4752,2337,4885,2407
404,4757,3158,4780,3170
405,4787,3002,4827,3038
406,4797,3437,4800,3442
407,4801,3435,4814,3437
408,4819,3279,4838,3294
409,4821,3332,4839,3343
410,4896,2845,4931,2874
411,4898,2455,6182,3646
412,4905,3485,4906,3487
413,4907,2649,4981,2735
414,4924,2649,4932,2654
415,4946,2505,4998,2547
416,4951,2836,4956,2837
417,4952,2862,4965,2878
418,4992,2438,5033,2460
419,4999,2692,5042,2732
420,5001,2550,5031,2575
421,5023,1721,5055,1754
422,5187,4147,5488,4332
423,5189,4136,5191,4140
424,5211,4076,5271,4159
425,5238,3887,5240,3889
426,5243,3664,5794,4180
427,5248,3750,5261,3754
428,5266,3782,5315,3817
429,5277,4141,5310,4172
430,5408,3672,5421,3685
431,5430,4290,5431,4292
432,5488,4205,5704,4281
433,5514,2545,5518,2552
434,5526,3596,5546,3604
435,5558,3592,5559,3593
