,10May2021,18Dec2020,distance_px
0,f06dee25-fc7b-466c-ad13-a04fa4c290da,f6c06408-c7f1-457e-a183-391994fa8d11,456.8820963881163
1,b9a1750d-568f-4ca0-aa91-ef3426137581,f6c06408-c7f1-457e-a183-391994fa8d11,112.98340586121486
2,ed2bd522-19ba-4989-a546-4e33aa2b1b2c,eb53b671-4822-46cf-96b8-79ec60a6c213,166.96406799069075
3,6f30d5a2-edbe-4497-adde-28c6d81a34e8,f6c06408-c7f1-457e-a183-391994fa8d11,465.92944744886
4,97bd3bea-ffd1-4f00-bb98-2e3818ade3ba,9910302c-85ac-48f8-b4f7-f259b39f4060,167.13018877509833
5,8303edce-b353-4657-a236-2c8dc4f1b2ec,eb53b671-4822-46cf-96b8-79ec60a6c213,107.11675872616759
6,0e4268af-4355-4988-b684-af0ff92a8d6e,780d4e2d-f889-42b2-bdfb-302afab4d9cb,148.5976110171358
7,e81f20b7-0d6c-4290-96a5-00e3527fb69b,9d9b7922-bd61-46a4-b0a2-c548f8f8ccb1,81.70679286326198
8,b73ebc8f-ce54-425b-9181-4048fa6bbe65,60918dc7-21b7-4c89-8c14-97a3d9203be0,266.6631770605008
9,a7c3ff53-8003-4d2e-8e5e-4e7445ba56a9,3d3fbcb3-39f9-47fe-9d5b-2d9a2eac86f1,168.68980407837338
10,e1427c35-f997-409c-97be-04a1ecc68a5a,ba638c88-52c0-445b-a472-2c0394d44705,151.96134376873613
11,8aa1a0b0-a79f-45e7-885e-babf2c26fb0e,ba638c88-52c0-445b-a472-2c0394d44705,244.73863609981976
12,ad5cea10-ae73-4640-9120-8fe21f57e802,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,346.1693949499291
13,19c4e6f8-4164-4634-98b3-e5893d42d9b1,f2cbae50-ce35-420a-b76d-b2edc1a55fec,257.0992026436488
14,9f26b3c7-b055-412f-a02e-67705bc62fdd,da982fe0-b01e-4b57-886c-2d7f2fcf2fb6,223.5363505114996
15,b12beef9-413f-41f1-8530-58c5c5513614,f2cbae50-ce35-420a-b76d-b2edc1a55fec,279.3966714189702
16,a2c3f29c-6e6a-4fc9-893d-beac485be8e6,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,136.20297353582262
17,cce96863-3ee1-4334-846e-09dcc8335010,12741f9a-3447-473a-9ad3-e9800db53234,184.84655798797013
18,8a4f6dec-2ba9-4b89-afe0-12be946c61d1,6c4aaafb-b30a-418f-aeea-5a2bdb67d2ff,202.75231194736102
